time,name,x,y,z
1625126237.6479075,c50,6.42,3.91,1.0
1625126237.7440293,c50,6.87,4.62,1.0
1625126237.8783758,c50,6.46,4.8,1.0
1625126237.9525182,c50,6.81,4.98,1.0
1625126238.042804,c50,6.78,4.26,1.0
1625126238.1806374,c50,7.06,4.43,1.0
1625126238.2373884,c50,6.59,4.42,1.0
1625126238.3402855,c50,7.07,4.23,1.0
1625126238.4784653,c50,6.83,4.22,1.0
1625126238.5529058,c50,6.71,4.27,1.0
1625126238.642554,c50,6.7,4.19,1.0
1625126238.779343,c50,6.74,4.27,1.0
1625126238.8428028,c50,7.03,4.21,1.0
1625126238.9444988,c50,6.35,4.69,1.0
1625126238.9514828,c58a,0.98,5.13,1.0
1625126239.032537,c50,6.42,4.75,1.0
1625126239.123106,c50,6.86,4.32,1.0
1625126239.227285,c50,6.52,4.06,1.0
1625126239.3178155,c50,6.53,4.06,1.0
1625126239.4228444,c50,6.84,4.76,1.0
1625126239.5293896,c50,6.78,4.98,1.0
1625126239.6157365,c50,6.49,4.49,1.0
1625126239.702381,552,2.31,4.39,1.0
1625126239.74369,c50,6.48,4.48,1.0
1625126239.82864,c50,6.53,4.17,1.0
1625126239.927857,c50,6.89,4.96,1.0
1625126240.019045,c50,6.8,4.83,1.0
1625126240.1290581,c50,6.83,4.7,1.0
1625126240.214183,c50,6.54,4.11,1.0
1625126240.3163397,c50,6.82,4.75,1.0
1625126240.4274247,c50,6.81,4.76,1.0
1625126240.523238,c50,6.82,4.82,1.0
1625126240.6173015,c50,6.63,4.16,1.0
1625126240.72905,c50,6.81,4.71,1.0
1625126240.8126009,c50,6.58,4.18,1.0
1625126240.9147263,c50,6.58,4.16,1.0
1625126241.0294874,c50,6.84,4.69,1.0
1625126241.1128268,c50,6.65,4.26,1.0
1625126241.2147682,c50,6.82,4.75,1.0
1625126241.3280263,c50,6.88,4.86,1.0
1625126241.4175913,c50,6.8,4.69,1.0
1625126241.5148764,c50,6.82,4.56,1.0
1625126241.628871,c50,6.84,4.95,1.0
1625126241.7077625,c50,6.86,4.78,1.0
1625126241.7973893,c50,6.63,4.15,1.0
1625126242.0885534,c8a9,2.56,4.77,1.0
1625126242.944642,c8a9,2.54,5.01,1.0
1625126243.0549426,c8a9,2.65,4.76,1.0
1625126243.1425056,c8a9,2.67,4.74,1.0
1625126243.239031,c8a9,2.6,4.79,1.0
1625126243.3344579,c8a9,2.66,4.74,1.0
1625126243.4371328,c8a9,2.59,4.73,1.0
1625126243.5294802,c8a9,2.59,4.83,1.0
1625126243.6383872,c8a9,2.68,4.76,1.0
1625126243.737774,c8a9,2.63,4.62,1.0
1625126243.8448699,c8a9,2.62,4.84,1.0
1625126243.945476,c8a9,2.63,4.91,1.0
1625126243.9914932,c58a,-13.09,17.34,1.0
1625126244.0555325,c8a9,2.63,4.88,1.0
